Name,Skin_FSR,Skin_ASR,FSR_Solvent,ASR_Solvent,FSR_Ion,ASR_Ion,FSR_Ion_Charge,ASR_Ion_Charge
BOMCUB.cif,0.25,0.25,"['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H4N', 'H4N', 'H4N']","['H4N', 'H4N', 'H4N']","[0.5892796121, 0.5892796121, 0.5892796121]","[0.5892796121, 0.5892796121, 0.5892796121]"
BUJLOK.cif,0.25,0.25,[],[],"['NO3', 'NO3', 'NO3', 'NO3']","['NO3', 'NO3', 'NO3', 'NO3']","[-0.6087105871, -0.6087105871, -0.6087105871, -0.6087105871]","[-0.6087105871, -0.6087105871, -0.6087105871, -0.6087105871]"
CAJWIV.cif,0.25,0.25,[],[],"['H3O', 'H3O']","['H3O', 'H3O']","[0.4415818452, 0.43065349760000016]","[0.4415818452, 0.43065349760000016]"
CAVGAK.cif,0.25,0.25,[],[],"['NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3']","['NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3', 'NO3']","[-0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994]","[-0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994, -0.49168184759999994]"
YARGIJ.cif,0.25,0.25,[],[],"['C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N']","['C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N', 'C2H8N']","[0.5166577729999999, 0.5246168414999999, 0.5246168414999999, 0.5323692302999998, 0.5167921150999999, 0.5167921150999999, 0.5105593301999999, 0.5167921150999999]","[0.5166577729999999, 0.5246168414999999, 0.5246168414999999, 0.5323692302999998, 0.5167921150999999, 0.5167921150999999, 0.5105593301999999, 0.5167921150999999]"
ZAFRUX.cif,0.25,0.25,[],[],"['O4Se', 'O4Se', 'O4Se', 'O4Se']","['O4Se', 'O4Se', 'O4Se', 'O4Se']","[-1.3414947192, -1.3414947192, -1.3414947192, -1.3414947192]","[-1.3414947192, -1.3414947192, -1.3414947192, -1.3414947192]"
BOMCUB.cif,0.25,0.25,"['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H4N', 'H4N', 'H4N']","['H4N', 'H4N', 'H4N']","[0.5902723275, 0.5902723275, 0.5902723275]","[0.5902723275, 0.5902723275, 0.5902723275]"
BUJLOK.cif,0.25,0.25,[],[],"['NO3', 'NO3', 'NO3', 'NO3']","['NO3', 'NO3', 'NO3', 'NO3']","[-0.6039256417000001, -0.6039256417000001, -0.6039256417000001, -0.6039256417000001]","[-0.6039256417000001, -0.6039256417000001, -0.6039256417000001, -0.6039256417000001]"
CAJWIV.cif,0.25,0.25,[],[],"['H3O', 'H3O']","['H3O', 'H3O']","[0.42919537419999987, 0.4241701564]","[0.42919537419999987, 0.4241701564]"
BOMCUB.cif,0.25,0.25,"['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H2O', 'H2O', 'H2O', 'H2O', 'H2O', 'H2O']","['H4N', 'H4N', 'H4N']","['H4N', 'H4N', 'H4N']","[0.5933422545, 0.5933422545, 0.5933422545]","[0.5933422545, 0.5933422545, 0.5933422545]"
